"split","fold","threshold","specificity","sensitivity","fpr","tpr"
"training","overall",0.178186421660195,0.47841726618705,0.96031746031746,0.52158273381295,0.96031746031746
"training","overall",0.17844412558025,0.47841726618705,0.956349206349206,0.52158273381295,0.956349206349206
"training","overall",0.178622031030233,0.482014388489209,0.956349206349206,0.517985611510791,0.956349206349206
"training","overall",0.178944726836971,0.485611510791367,0.956349206349206,0.514388489208633,0.956349206349206
"training","overall",0.179251653060624,0.485611510791367,0.952380952380952,0.514388489208633,0.952380952380952
"training","overall",0.18024346249516,0.489208633093525,0.952380952380952,0.510791366906475,0.952380952380952
"training","overall",0.181354183211432,0.492805755395683,0.952380952380952,0.507194244604317,0.952380952380952
"training","overall",0.181669991457593,0.496402877697842,0.952380952380952,0.503597122302158,0.952380952380952
"training","overall",0.183171734261364,0.5,0.952380952380952,0.5,0.952380952380952
"training","overall",0.186278684586087,0.503597122302158,0.952380952380952,0.496402877697842,0.952380952380952
"training","overall",0.188067583349955,0.507194244604317,0.952380952380952,0.492805755395683,0.952380952380952
"training","overall",0.188185678211017,0.510791366906475,0.952380952380952,0.489208633093525,0.952380952380952
"training","overall",0.188513074163588,0.510791366906475,0.948412698412698,0.489208633093525,0.948412698412698
"training","overall",0.189812235622775,0.514388489208633,0.948412698412698,0.485611510791367,0.948412698412698
"training","overall",0.192265045763742,0.517985611510791,0.948412698412698,0.482014388489209,0.948412698412698
"training","overall",0.194539934054258,0.517985611510791,0.944444444444444,0.482014388489209,0.944444444444444
"training","overall",0.19563328294856,0.52158273381295,0.944444444444444,0.47841726618705,0.944444444444444
"training","overall",0.196773308448355,0.525179856115108,0.944444444444444,0.474820143884892,0.944444444444444
"training","overall",0.198871999972886,0.528776978417266,0.944444444444444,0.471223021582734,0.944444444444444
"training","overall",0.201403486819171,0.532374100719424,0.944444444444444,0.467625899280576,0.944444444444444
"training","overall",0.20397657678295,0.535971223021583,0.944444444444444,0.464028776978417,0.944444444444444
"training","overall",0.205992096532914,0.539568345323741,0.944444444444444,0.460431654676259,0.944444444444444
"training","overall",0.207424749238264,0.539568345323741,0.94047619047619,0.460431654676259,0.94047619047619
"training","overall",0.209554286135,0.543165467625899,0.94047619047619,0.456834532374101,0.94047619047619
